call_id,timestamp,customer_id,agent_id,call_duration_sec,wait_time_sec,call_status,csat_score,issue_category
CALL-2026040001,2026-04-01 08:15:00,CUST-8694,AGT-124,372,103,Dropped,1,Billing & Payment
CALL-2026040002,2026-04-01 08:45:00,CUST-9502,AGT-103,146,11,Answered,5,Network Outage
CALL-2026040003,2026-04-01 09:00:00,CUST-4810,AGT-107,513,13,Answered,4,Technical Support
CALL-2026040004,2026-04-01 09:15:00,CUST-8069,AGT-107,221,89,Answered,4,Billing & Payment
CALL-2026040005,2026-04-01 10:15:00,CUST-9567,AGT-118,276,77,Answered,5,Technical Support
CALL-2026040006,2026-04-01 10:15:00,CUST-2828,AGT-105,301,127,Answered,5,Technical Support
CALL-2026040007,2026-04-01 10:30:00,CUST-9202,AGT-113,266,274,Dropped,1,General Inquiry
CALL-2026040008,2026-04-01 10:45:00,CUST-4564,AGT-114,220,64,Answered,4,Technical Support
CALL-2026040009,2026-04-01 10:45:00,CUST-7402,AGT-124,246,40,Answered,5,Billing & Payment
CALL-2026040010,2026-04-01 12:00:00,CUST-9194,AGT-103,174,75,Answered,5,Technical Support
CALL-2026040011,2026-04-01 12:45:00,CUST-2933,AGT-105,224,407,Dropped,3,Technical Support
CALL-2026040012,2026-04-01 13:15:00,CUST-1954,AGT-102,245,113,Answered,5,Billing & Payment
CALL-2026040013,2026-04-01 14:00:00,CUST-9228,AGT-116,278,44,Answered,5,Account Management
CALL-2026040014,2026-04-01 14:00:00,CUST-3745,AGT-103,386,233,Answered,1,Billing & Payment
CALL-2026040015,2026-04-01 14:45:00,CUST-5311,AGT-119,256,80,Answered,4,Network Outage
CALL-2026040016,2026-04-01 15:00:00,CUST-5286,AGT-106,255,138,Missed,1,Technical Support
CALL-2026040017,2026-04-01 16:30:00,CUST-6150,AGT-123,300,112,Answered,5,Technical Support
CALL-2026040018,2026-04-01 16:45:00,CUST-9780,AGT-112,266,30,Answered,5,Technical Support
CALL-2026040019,2026-04-01 17:00:00,CUST-3064,AGT-108,414,70,Answered,5,Technical Support
CALL-2026040020,2026-04-01 17:30:00,CUST-6352,AGT-102,299,70,Dropped,1,Billing & Payment
CALL-2026040021,2026-04-01 17:30:00,CUST-8059,AGT-104,247,31,Answered,4,Technical Support
CALL-2026040022,2026-04-01 18:00:00,CUST-5569,AGT-124,295,133,Missed,3,Technical Support
CALL-2026040023,2026-04-01 18:00:00,CUST-9954,AGT-103,382,39,Answered,3,Account Management
CALL-2026040024,2026-04-01 18:30:00,CUST-4356,AGT-104,238,46,Answered,5,Billing & Payment
CALL-2026040025,2026-04-01 19:30:00,CUST-2098,AGT-120,236,98,Answered,5,Network Outage
CALL-2026040026,2026-04-01 19:30:00,CUST-1988,AGT-121,248,126,Missed,2,General Inquiry
CALL-2026040027,2026-04-01 19:45:00,CUST-6626,AGT-101,209,87,Answered,5,Billing & Payment
CALL-2026040028,2026-04-01 20:30:00,CUST-6390,AGT-112,337,216,Answered,3,Billing & Payment
CALL-2026040029,2026-04-01 20:30:00,CUST-4380,AGT-108,337,121,Answered,3,Network Outage
CALL-2026040030,2026-04-01 20:30:00,CUST-5473,AGT-103,399,47,Answered,5,Technical Support
CALL-2026040031,2026-04-01 21:30:00,CUST-2875,AGT-104,320,25,Answered,5,Account Management
CALL-2026040032,2026-04-01 21:30:00,CUST-1583,AGT-111,190,19,Answered,5,General Inquiry
CALL-2026040033,2026-04-01 21:30:00,CUST-2389,AGT-115,350,30,Answered,3,Account Management
CALL-2026040034,2026-04-01 21:45:00,CUST-1213,AGT-119,318,26,Missed,1,Technical Support
CALL-2026040035,2026-04-01 23:00:00,CUST-9783,AGT-122,260,82,Answered,5,Account Management
CALL-2026040036,2026-04-01 23:00:00,CUST-2949,AGT-101,282,36,Answered,5,Network Outage
CALL-2026040037,2026-04-01 23:30:00,CUST-1089,AGT-114,289,113,Dropped,1,Account Management
CALL-2026040038,2026-04-01 23:30:00,CUST-1634,AGT-106,255,67,Answered,4,Account Management
CALL-2026040039,2026-04-02 00:00:00,CUST-9907,AGT-108,326,68,Answered,5,General Inquiry
CALL-2026040040,2026-04-02 00:30:00,CUST-1207,AGT-104,397,101,Answered,3,Account Management
CALL-2026040041,2026-04-02 01:00:00,CUST-8867,AGT-110,435,87,Answered,5,Billing & Payment
CALL-2026040042,2026-04-02 02:30:00,CUST-4638,AGT-114,376,22,Answered,5,Billing & Payment
CALL-2026040043,2026-04-02 02:30:00,CUST-1306,AGT-112,283,86,Answered,5,Account Management
CALL-2026040044,2026-04-02 02:45:00,CUST-7236,AGT-122,290,27,Answered,5,Technical Support
CALL-2026040045,2026-04-02 03:15:00,CUST-1158,AGT-124,139,35,Answered,4,Billing & Payment
CALL-2026040046,2026-04-02 03:45:00,CUST-2394,AGT-122,460,39,Answered,5,Billing & Payment
CALL-2026040047,2026-04-02 04:15:00,CUST-8904,AGT-103,429,41,Answered,5,Network Outage
CALL-2026040048,2026-04-02 04:30:00,CUST-5648,AGT-122,394,45,Answered,4,Network Outage
CALL-2026040049,2026-04-02 06:15:00,CUST-9321,AGT-107,163,39,Answered,4,Technical Support
CALL-2026040050,2026-04-02 06:15:00,CUST-8062,AGT-115,384,139,Answered,4,Technical Support
CALL-2026040051,2026-04-02 06:30:00,CUST-6724,AGT-110,477,19,Dropped,1,Account Management
CALL-2026040052,2026-04-02 07:00:00,CUST-8029,AGT-120,166,65,Answered,5,Billing & Payment
CALL-2026040053,2026-04-02 07:30:00,CUST-4568,AGT-124,252,62,Answered,4,Network Outage
CALL-2026040054,2026-04-02 07:45:00,CUST-1968,AGT-105,314,12,Answered,4,General Inquiry
CALL-2026040055,2026-04-02 08:15:00,CUST-6178,AGT-105,200,62,Answered,5,Technical Support
CALL-2026040056,2026-04-02 08:30:00,CUST-1125,AGT-102,425,226,Answered,1,Billing & Payment
CALL-2026040057,2026-04-02 09:15:00,CUST-7570,AGT-118,214,55,Answered,5,Billing & Payment
CALL-2026040058,2026-04-02 09:45:00,CUST-7812,AGT-106,325,21,Answered,5,Network Outage
CALL-2026040059,2026-04-02 10:30:00,CUST-7089,AGT-118,313,349,Answered,3,Technical Support
CALL-2026040060,2026-04-02 10:45:00,CUST-4072,AGT-119,325,345,Dropped,1,General Inquiry
CALL-2026040061,2026-04-02 11:30:00,CUST-9125,AGT-102,274,38,Answered,5,General Inquiry
CALL-2026040062,2026-04-02 12:00:00,CUST-4230,AGT-109,309,219,Answered,4,Technical Support
CALL-2026040063,2026-04-02 12:30:00,CUST-5114,AGT-106,351,408,Answered,1,General Inquiry
CALL-2026040064,2026-04-02 13:00:00,CUST-1454,AGT-121,244,112,Answered,5,Billing & Payment
CALL-2026040065,2026-04-02 13:00:00,CUST-3875,AGT-101,427,114,Answered,4,Technical Support
