chat_id,timestamp,customer_id,agent_id,first_response_time_sec,chat_duration_min,chat_status,csat_score,sentiment,issue_category
IM-2026040001,2026-04-01 08:00:00,CUST-8349,AGT-203,105,13.8,Resolved,5,Positive,Technical Support
IM-2026040002,2026-04-01 08:00:00,CUST-7590,AGT-226,76,21.7,Resolved,5,Positive,Account Management
IM-2026040003,2026-04-01 09:00:00,CUST-7176,AGT-203,59,11.0,Resolved,5,Neutral,Billing & Payment
IM-2026040004,2026-04-01 09:15:00,CUST-4114,AGT-203,42,18.5,Resolved,5,Negative,Technical Support
IM-2026040005,2026-04-01 09:45:00,CUST-4317,AGT-201,30,18.9,Unresolved,4,Negative,Technical Support
IM-2026040006,2026-04-01 10:00:00,CUST-4317,AGT-209,97,15.8,Resolved,4,Positive,Billing & Payment
IM-2026040007,2026-04-01 10:15:00,CUST-8775,AGT-213,24,10.2,Resolved,5,Positive,Technical Support
IM-2026040008,2026-04-01 10:15:00,CUST-9520,AGT-202,30,10.1,Resolved,5,Positive,Technical Support
IM-2026040009,2026-04-01 10:45:00,CUST-9657,AGT-226,32,10.1,Resolved,5,Positive,Billing & Payment
IM-2026040010,2026-04-01 11:00:00,CUST-9172,AGT-231,157,3.1,Resolved,5,Neutral,Billing & Payment
IM-2026040011,2026-04-01 11:45:00,CUST-6269,AGT-220,193,11.7,Resolved,5,Neutral,Technical Support
IM-2026040012,2026-04-01 11:45:00,CUST-6885,AGT-202,46,5.8,Resolved,4,Neutral,Network Outage
IM-2026040013,2026-04-01 11:45:00,CUST-6948,AGT-215,36,16.1,Resolved,5,Positive,Billing & Payment
IM-2026040014,2026-04-01 12:00:00,CUST-9491,AGT-222,80,12.2,Resolved,5,Neutral,Account Management
IM-2026040015,2026-04-01 12:00:00,CUST-8101,AGT-220,45,9.4,Resolved,4,Positive,Billing & Payment
IM-2026040016,2026-04-01 12:15:00,CUST-8165,AGT-203,69,13.6,Resolved,4,Positive,Network Outage
IM-2026040017,2026-04-01 12:45:00,CUST-1414,AGT-229,25,12.6,Resolved,5,Positive,Technical Support
IM-2026040018,2026-04-01 13:00:00,CUST-6672,AGT-205,228,10.9,Resolved,5,Negative,General Inquiry
IM-2026040019,2026-04-01 13:00:00,CUST-7833,AGT-217,47,8.6,Resolved,4,Positive,Account Management
