ticket_id,created_at,customer_id,priority,channel,resolution_time_hours,first_contact_resolution,status,csat_score,category
TKT-2026040001,2026-04-01 08:45:00,CUST-2727,Low,Mobile App,11.0,Yes,Closed,4,Billing & Payment
TKT-2026040002,2026-04-01 09:30:00,CUST-8770,Urgent,Email,26.8,Yes,Closed,4,Account Management
TKT-2026040003,2026-04-01 09:45:00,CUST-7331,Medium,Mobile App,5.0,Yes,Closed,5,Account Management
TKT-2026040004,2026-04-01 10:30:00,CUST-1226,Medium,Web Portal,6.2,Yes,Closed,4,Network Outage
TKT-2026040005,2026-04-01 10:45:00,CUST-8218,Low,Mobile App,23.6,Yes,Closed,5,General Inquiry
TKT-2026040006,2026-04-01 11:15:00,CUST-3733,High,Email,11.8,Yes,Closed,5,Billing & Payment
TKT-2026040007,2026-04-01 11:15:00,CUST-1988,Medium,Email,5.3,Yes,Escalated,5,Technical Support
TKT-2026040008,2026-04-01 11:30:00,CUST-2471,Medium,Email,7.6,Yes,Closed,5,Billing & Payment
TKT-2026040009,2026-04-01 12:45:00,CUST-6708,Urgent,Mobile App,6.4,Yes,Closed,5,Network Outage
TKT-2026040010,2026-04-01 13:30:00,CUST-9809,Medium,Web Portal,5.8,Yes,Closed,3,General Inquiry
TKT-2026040011,2026-04-01 13:45:00,CUST-4185,Medium,Email,32.0,No,Closed,1,Account Management
TKT-2026040012,2026-04-01 14:00:00,CUST-7646,Medium,Web Portal,28.0,No,Closed,3,Account Management
TKT-2026040013,2026-04-01 14:00:00,CUST-5808,Medium,Web Portal,33.9,Yes,Closed,4,Technical Support
TKT-2026040014,2026-04-01 14:15:00,CUST-3725,Low,Email,25.9,Yes,Closed,5,Billing & Payment
TKT-2026040015,2026-04-01 16:00:00,CUST-7428,Medium,Email,6.4,Yes,In Progress,4,Billing & Payment
TKT-2026040016,2026-04-01 16:45:00,CUST-8904,Medium,Web Portal,6.3,Yes,Closed,5,Billing & Payment
TKT-2026040017,2026-04-01 18:45:00,CUST-7520,Low,Email,32.6,Yes,Closed,3,Network Outage
TKT-2026040018,2026-04-01 19:00:00,CUST-3261,Low,Web Portal,15.1,Yes,Escalated,4,Technical Support
TKT-2026040019,2026-04-01 20:00:00,CUST-7039,Medium,Email,34.4,Yes,Closed,5,Billing & Payment
TKT-2026040020,2026-04-01 21:45:00,CUST-3337,High,Web Portal,41.1,Yes,Escalated,5,Technical Support
TKT-2026040021,2026-04-01 22:00:00,CUST-3526,Low,Mobile App,15.6,Yes,Closed,5,Account Management
TKT-2026040022,2026-04-01 22:15:00,CUST-1449,Urgent,Email,9.5,Yes,Closed,5,Network Outage
TKT-2026040023,2026-04-02 00:30:00,CUST-4692,Medium,Web Portal,15.4,Yes,In Progress,5,Network Outage
TKT-2026040024,2026-04-02 01:30:00,CUST-6053,Urgent,Email,6.6,Yes,Closed,5,Account Management
TKT-2026040025,2026-04-02 01:45:00,CUST-1695,Medium,Web Portal,27.4,Yes,Closed,5,Technical Support
TKT-2026040026,2026-04-02 02:45:00,CUST-8889,High,Email,17.7,Yes,Closed,4,Billing & Payment
TKT-2026040027,2026-04-02 03:00:00,CUST-8200,Medium,Mobile App,7.5,Yes,Closed,4,Technical Support
TKT-2026040028,2026-04-02 03:30:00,CUST-2827,Medium,Web Portal,9.4,Yes,Closed,4,General Inquiry
TKT-2026040029,2026-04-02 05:30:00,CUST-3820,Medium,Web Portal,26.1,Yes,In Progress,5,Technical Support
TKT-2026040030,2026-04-02 06:30:00,CUST-8183,Low,Mobile App,13.3,No,Closed,1,Account Management
TKT-2026040031,2026-04-02 06:30:00,CUST-9190,Medium,Email,14.2,Yes,Closed,5,Technical Support
TKT-2026040032,2026-04-02 07:00:00,CUST-8102,Medium,Email,7.4,Yes,Closed,4,Account Management
TKT-2026040033,2026-04-02 08:30:00,CUST-5518,Low,Email,9.6,Yes,Closed,3,Technical Support
TKT-2026040034,2026-04-02 09:00:00,CUST-8540,Low,Email,9.7,Yes,Closed,5,Account Management
TKT-2026040035,2026-04-02 10:00:00,CUST-6412,Medium,Email,11.7,Yes,Escalated,5,Technical Support
TKT-2026040036,2026-04-02 10:15:00,CUST-5499,Medium,Web Portal,19.0,Yes,Closed,5,Technical Support
TKT-2026040037,2026-04-02 10:30:00,CUST-2969,High,Email,40.9,Yes,Closed,5,Technical Support
TKT-2026040038,2026-04-02 11:00:00,CUST-2123,Medium,Email,23.1,Yes,Closed,5,General Inquiry
TKT-2026040039,2026-04-02 11:15:00,CUST-5194,Low,Mobile App,25.0,Yes,Closed,4,Technical Support
